Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,Diesel_MW,PLN_MW,Gas_MW,Hydro_MW,GHG_Intensity,Tahun,Mining_RpMiliar,Processing_RpMiliar,Electricity_RpMiliar,Construction_RpMiliar,Work_Absence,Child_Asthma,Low_Birth_Weight,Agri_Loss_RpMiliar
Anugrah Tambang Sejahtera,Silkroad Nickel,-3.01680813805646,122.233574871863,1440000.0,0.0,0.0,146.0,0.0,0.0,60.0,1,0.047469926992062,0.0361780044050357,0.0184805390467282,0.0082692581497224,813.3206927096251,0.2427528434104131,0.350817012412468,-6.170933894230386
Anugrah Tambang Sejahtera,Silkroad Nickel,-3.01680813805646,122.233574871863,1440000.0,0.0,0.0,146.0,0.0,0.0,66.0,9,-0.003069648858609,-0.0038683840207981,-0.0012999023227783,-0.0101329735281636,8133.20692709625,2.4275284341041314,3.50817012412468,-1.8388136351494584
Artha Mining Industry,Artha Mining Industry,-4.89399835956639,121.987146995586,2000000.0,0.0,1.5,0.0,0.0,0.0,60.0,1,0.0903813336680003,0.0688818478301157,0.0351863984586738,0.0157444223611693,1548.538486675364,0.4621942170419023,0.6679451910799105,-11.7492751870226
Artha Mining Industry,Artha Mining Industry,-4.89399835956639,121.987146995586,2000000.0,0.0,1.5,0.0,0.0,0.0,66.0,9,-0.0058445204219492,-0.0073652884909257,-0.002474975484805,-0.0192928811887813,15485.38486675364,4.621942170419023,6.679451910799104,-3.501046646638048
Artabumi Sentra Industri,Silkroad Nickel,-2.629209261240042,122.32511978235468,720000.0,15.0,0.0,0.0,0.0,0.0,60.0,1,0.0680724117331475,0.2922967449993414,1.1436988742274448,0.921476670718108,224.92365873091168,0.0674476336529935,0.1384451427614077,-0.0077671274964605
Artabumi Sentra Industri,Silkroad Nickel,-2.629209261240042,122.32511978235468,720000.0,15.0,0.0,0.0,0.0,0.0,66.0,9,0.0461483809204692,0.0399006001189287,-0.0040468580191796,-0.0266240659156553,2249.2365873091167,0.6744763365299351,1.3844514276140774,-1.5850903883544558
Bahodopi Nickel Smelting Indonesia,Vale Indonesia,-3.09094,122.33023,300000.0,0.0,0.0,0.0,500.0,0.0,28.7,1,0.0275150833529639,0.1181472655028709,0.4622866893334341,0.3724637743409673,90.91485170667244,0.0272625460839755,0.0559599630144761,-0.0031394974121967
Bahodopi Nickel Smelting Indonesia,Vale Indonesia,-3.09094,122.33023,300000.0,0.0,0.0,0.0,500.0,0.0,31.57,9,0.0186533210048253,0.0161279483149413,-0.0016357527650385,-0.0107615313489377,909.1485170667244,0.2726254608397557,0.5595996301447617,-0.6406985303903564
Bintang Smelter Indonesia,PT Ifishdeco,-4.40051665026324,122.198670979539,147000.0,0.0,4.5,100.0,3.0,0.0,60.0,1,0.0068090711051018,0.0051893613503085,0.0026508425945299,0.0011861397372133,116.66245934687473,0.0348203900128931,0.0503210797605681,-0.885156778895494
Bintang Smelter Indonesia,PT Ifishdeco,-4.40051665026324,122.198670979539,147000.0,0.0,4.5,100.0,3.0,0.0,66.0,9,-0.0004403094479049,-0.0005548797634312,-0.0001864575723271,-0.0014534704734414,1166.6245934687472,0.3482039001289315,0.5032107976056817,-0.263758838155728
Bintang Timur Steel,Bintang Timur Steel,-6.24800244074343,106.497542682449,70000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bintang Timur Steel,Bintang Timur Steel,-6.24800244074343,106.497542682449,70000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukit Smelter Indonesia,PT Merdeka Industri Mineral,-2.85005087260833,122.167514383938,1800000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.171878356354329,0.7380300303616736,2.8877643330328397,2.326667904800622,567.9174247479476,0.1703008328500339,0.3495648674290171,-0.0196114853829407
Bukit Smelter Indonesia,PT Merdeka Industri Mineral,-2.85005087260833,122.167514383938,1800000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.116521622476339,0.1007463874333885,-0.010218049971002,-0.0672240129671186,5679.174247479476,1.7030083285003397,3.495648674290172,-4.002248836010377
Cahaya Modern Metal Industri,PT Modern Cahaya Makmur,-6.20862610786271,106.326625086874,140000.0,0.0,0.0,25.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cahaya Modern Metal Industri,PT Modern Cahaya Makmur,-6.20862610786271,106.326625086874,140000.0,0.0,0.0,25.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cahaya Smelter Indonesia,PT Merdeka Industri Mineral,-2.85565622639356,122.168987996916,1800000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.1718052298857937,0.7377160319564173,2.886535719889708,2.325678012815725,567.6758015641311,0.1702283775464164,0.3494161433847496,-0.0196031415827136
Cahaya Smelter Indonesia,PT Merdeka Industri Mineral,-2.85565622639356,122.168987996916,1800000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.1164720477949165,0.1007035244011432,-0.0102137026527849,-0.0671954121893749,5676.758015641311,1.7022837754641644,3.494161433847496,-4.0005460601066245
CORII BF,PT Central Omega Resources Tbk,-1.93869141224428,121.320296797426,856000.0,15.0,0.0,0.0,0.0,0.0,60.0,1,0.0663480437883121,0.284892465870339,1.114727406535169,0.8981343975057398,219.2260326695477,0.0657390921974306,0.1349381366157787,-0.0075703754593672
CORII BF,PT Central Omega Resources Tbk,-1.93869141224428,121.320296797426,856000.0,15.0,0.0,0.0,0.0,0.0,66.0,9,0.0449793788719262,0.0388898629631116,-0.0039443455318458,-0.0259496416568805,2192.2603266954766,0.6573909219743068,1.3493813661577876,-1.5449378656840391
CORII RKEF,Central Omega Resources,-1.93869141224428,121.320296797426,300000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.0232528190846888,0.0998454903751188,0.3906754929445686,0.3147667280978059,76.83155350568258,0.0230394014710621,0.0472914030195486,-0.0026531689694044
