Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,GHG_Intensity,Tahun,Agri_Loss_RpMiliar
PT Jiu Long Metal Industry,ANTAM,0.487616462055293,127.985763953548,1800000.0,,66.0,9,-0.907924888698229
PT Sungai Raya Nickel Alloy Indonesia,PT Sungai Raya Nickel Alloy Indonesia,-4.16161494641504,122.678787600165,6000000.0,,60.0,1,-37.88230769393686
PT Sungai Raya Nickel Alloy Indonesia,PT Sungai Raya Nickel Alloy Indonesia,-4.16161494641504,122.678787600165,6000000.0,,66.0,9,-8365.314373120964
PT Guang Tsing Halmahera Nickel,PT Guang Tsing Halmahera Nickel,-2.629209261240042,122.32511978235469,10800000.0,,60.0,1,-116.831871249409
PT Guang Tsing Halmahera Nickel,PT Guang Tsing Halmahera Nickel,-2.629209261240042,122.32511978235469,10800000.0,,66.0,9,-24972.8818516794
PT MBG Nikel Indonesia,PT MBG Nikel Indonesia,-2.629209261240042,122.32511978235469,1314800.0,,60.0,1,-14.724262417347747
PT MBG Nikel Indonesia,PT MBG Nikel Indonesia,-2.629209261240042,122.32511978235469,1314800.0,,66.0,9,-2924.733298629653
PT Westrong Metal Industry,Harum Energy,0.484250049328921,127.986313601741,300000.0,,60.0,1,-0.0007440829649983706
PT Westrong Metal Industry,Harum Energy,0.484250049328921,127.986313601741,300000.0,,66.0,9,-0.14655360925753863
PT Blue Sparking Energy,Harum Energy,0.484250049328921,127.986313601741,300000.0,,60.0,1,-0.0007596333959104613
PT Blue Sparking Energy,Harum Energy,0.484250049328921,127.986313601741,300000.0,,66.0,9,-0.1653532733310471
PT Heng Sheng New Energy Material Indonesia,PT Heng Sheng New Energy Material Indonesia,-5.56714042615137,120.063356231334,1100000.0,,60.0,1,-0.7780075864529922
PT Heng Sheng New Energy Material Indonesia,PT Heng Sheng New Energy Material Indonesia,-5.56714042615137,120.063356231334,1100000.0,,66.0,9,-147.30690867883138
PT Unity Nickel Alloy,PT Unity Nickel Indonesia,-5.56584918587481,120.068234925222,300000.0,,60.0,1,-0.2130130395453611
PT Unity Nickel Alloy,PT Unity Nickel Indonesia,-5.56584918587481,120.068234925222,300000.0,,66.0,9,-43.92814676761301
Dowstone Energy Materials Indonesia,PT Dowstone Energy Materials Indonesia,-5.57753334707958,120.069017936948,300000.0,,60.0,1,-0.1992354011968083
Dowstone Energy Materials Indonesia,PT Dowstone Energy Materials Indonesia,-5.57753334707958,120.069017936948,300000.0,,66.0,9,-42.86621885188976
Mitra Murni Perkasa,Mitra Murni Perkasa,-1.11363289581564,116.750163134973,300000.0,,60.0,1,-0.0041524221414568005
Mitra Murni Perkasa,Mitra Murni Perkasa,-1.11363289581564,116.750163134973,300000.0,,66.0,9,-0.7966659133168771
Nadesico Nickel Industry,CNGR,-2.01427457604686,121.430177208944,300000.0,,60.0,1,-2.6389229322977017
Nadesico Nickel Industry,CNGR,-2.01427457604686,121.430177208944,300000.0,,66.0,9,-543.9129681864689
Debonair Nickel Industry,CNGR,0.487668817784395,127.977118715487,300000.0,,60.0,1,-0.0008327192547361806
Debonair Nickel Industry,CNGR,0.487668817784395,127.977118715487,300000.0,,66.0,9,-0.16970290484493597
Zhongtsing New Energy,Zhongtsing New Energy,-2.82268590864756,122.146086856557,300000.0,,60.0,1,-3.0137493987656314
Zhongtsing New Energy,Zhongtsing New Energy,-2.82268590864756,122.146086856557,300000.0,,66.0,9,-629.5629379386075
Dingxing New Energy,CNGR,-2.82271172342708,122.137055315572,300000.0,,60.0,1,-3.317848314542132
Dingxing New Energy,CNGR,-2.82271172342708,122.137055315572,300000.0,,66.0,9,-677.0545751820883
