Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,Diesel_MW,PLN_MW,Gas_MW,Hydro_MW,GHG_Intensity,Tahun,Mining_RpMiliar,Processing_RpMiliar,Electricity_RpMiliar,Construction_RpMiliar,Work_Absence,Child_Asthma,Low_Birth_Weight,Agri_Loss_RpMiliar
Bukit Smelter Indonesia,PT Merdeka Industri Mineral,-2.85005087260833,122.167514383938,1800000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.17187835635432902,0.7380300303616736,2.8877643330328393,2.326667904800622,567.9174247479476,0.17030083285003397,0.34956486742901716,-0.019611485382940757
Bukit Smelter Indonesia,PT Merdeka Industri Mineral,-2.85005087260833,122.167514383938,1800000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.11652162247633904,0.10074638743338853,-0.010218049971002037,-0.06722401296711868,5679.1742474794755,1.7030083285003397,3.4956486742901713,-4.002248836010377
Cahaya Modern Metal Industri,PT Modern Cahaya Makmur,-6.20862610786271,106.326625086874,140000.0,0.0,0.0,25.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cahaya Modern Metal Industri,PT Modern Cahaya Makmur,-6.20862610786271,106.326625086874,140000.0,0.0,0.0,25.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cahaya Smelter Indonesia,PT Merdeka Industri Mineral,-2.85565622639356,122.168987996916,1800000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.17180522988579375,0.7377160319564173,2.8865357198897077,2.325678012815725,567.6758015641311,0.17022837754641645,0.3494161433847496,-0.019603141582713642
Cahaya Smelter Indonesia,PT Merdeka Industri Mineral,-2.85565622639356,122.168987996916,1800000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.1164720477949165,0.1007035244011432,-0.010213702652784986,-0.06719541218937491,5676.758015641311,1.7022837754641644,3.4941614338474953,-4.0005460601066245
CORII BF,PT Central Omega Resources Tbk,-1.93869141224428,121.320296797426,856000.0,15.0,0.0,0.0,0.0,0.0,60.0,1,0.06634804378831213,0.28489246587033906,1.1147274065351693,0.8981343975057398,219.22603266954766,0.06573909219743068,0.13493813661577878,-0.007570375459367281
CORII BF,PT Central Omega Resources Tbk,-1.93869141224428,121.320296797426,856000.0,15.0,0.0,0.0,0.0,0.0,66.0,9,0.044979378871926254,0.03888986296311162,-0.00394434553184584,-0.02594964165688053,2192.2603266954766,0.6573909219743068,1.3493813661577876,-1.5449378656840393
CORII RKEF,Central Omega Resources,-1.93869141224428,121.320296797426,300000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.02325281908468883,0.09984549037511882,0.39067549294456866,0.3147667280978059,76.83155350568258,0.023039401471062152,0.04729140301954863,-0.0026531689694044205
CORII RKEF,Central Omega Resources,-1.93869141224428,121.320296797426,300000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.01576380100651621,0.0136296248702494,-0.001382364088263729,-0.009094500580682428,768.3155350568258,0.23039401471062151,0.4729140301954863,-0.541450186571509
Century Metalindo,Century Metalindo,-6.18810173266052,106.315206339778,481000.0,0.0,0.0,29.5,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Century Metalindo,Century Metalindo,-6.18810173266052,106.315206339778,481000.0,0.0,0.0,29.5,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceria Nugraha Indotama (RKEF) / Merah Putih smelter,PT Ceria Nugraha Indotama,-3.85415246173602,121.297981864151,5636000.0,0.0,0.0,350.0,0.0,0.0,60.0,1,0.2655367165859658,0.20237209347198315,0.10337622090776627,0.046256478507881865,4549.543678667359,1.3579079865003199,1.9623960579101398,-34.51889708650684
Ceria Nugraha Indotama (RKEF) / Merah Putih smelter,PT Ceria Nugraha Indotama,-3.85415246173602,121.297981864151,5636000.0,0.0,0.0,350.0,0.0,0.0,66.0,9,-0.017170965506713723,-0.021638920817134127,-0.007271378250292036,-0.05668170756552948,45495.436786673585,13.579079865003198,19.623960579101396,-10.285933980322744
Fajar Bhakti Lintas Nusantara,PT Pengda Mining Indonesia,-0.0695553166834322,129.3921427,1065600.0,300.0,0.0,0.0,0.0,0.0,60.0,1,3.8321976904538615,0.024811898287172948,0.01421912632611065,0.0010306480826979532,184.56044249779515,0.017177468044965886,0.03340063230965589,-0.14801251632078938
Fajar Bhakti Lintas Nusantara,PT Pengda Mining Indonesia,-0.0695553166834322,129.3921427,1065600.0,300.0,0.0,0.0,0.0,0.0,66.0,9,-9.543037802758826e-05,-0.006775556839958766,-0.00023857594506897066,-4.771518901379413e-05,1845.6044249779513,0.17177468044965885,0.33400632309655887,-0.12968988373949245
Fajar Metal Industry Excelsior Nickel Cobalt Project,Perpetual Power Technology Group Ltd.,-2.83822430529276,122.117733364886,8000000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.7661168074207108,3.289635895026144,12.871689247747426,10.370703007419072,2531.3896034096615,0.759085280610842,1.558122418095939,-0.0874146628408696
Fajar Metal Industry Excelsior Nickel Cobalt Project,Perpetual Power Technology Group Ltd.,-2.83822430529276,122.117733364886,8000000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.519374139365313,0.44905887126662447,-0.045545116836650516,-0.2996389265569113,25313.89603409661,7.59085280610842,15.581224180959389,-17.839303131492272
Gebe Industry Nickel,Gebe Industry Nickel,-7.13215,112.61242,1320000.0,0.0,1.6,0.276,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gebe Industry Nickel,Gebe Industry Nickel,-7.13215,112.61242,1320000.0,0.0,1.6,0.276,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Growth Java Industri,Growth Java Industri,-6.02916664481287,105.954452028205,546000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Growth Java Industri,Growth Java Industri,-6.02916664481287,105.954452028205,546000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
