Smelter,Regency,Year,Year_Scaled,Latitude,Longitude,Coal_MW,CO2_Mt,RE_share_pct,GHG_Intensity,Target_PDRB_Smelter
Yashi Indonesia Investment,Central Halmahera Regency,2020,0.0,0.48073,127.99653,250.0,1.5768,0.0,45.1,0.1326867049796128
Yashi Indonesia Investment,Central Halmahera Regency,2024,0.26666666666666666,0.48073,127.99653,250.0,1.5768,0.0,45.1,0.23364249963613323
Yashi Indonesia Investment,Central Halmahera Regency,2029,0.6,0.48073,127.99653,250.0,1.5768,0.0,45.1,-0.000977052043535493
Yashi Indonesia Investment,Central Halmahera Regency,2035,1.0,0.48073,127.99653,250.0,1.5768,0.0,45.1,-0.0003819845483440694
Youshan Nickel Industry,Central Halmahera Regency,2020,0.0,0.48068,127.99945,250.0,1.5768,0.0,46.4,0.1326867049796128
Youshan Nickel Industry,Central Halmahera Regency,2024,0.26666666666666666,0.48068,127.99945,250.0,1.5768,0.0,46.4,0.23364249963613323
Youshan Nickel Industry,Central Halmahera Regency,2029,0.6,0.48068,127.99945,250.0,1.5768,0.0,46.4,-0.000977052043535493
Youshan Nickel Industry,Central Halmahera Regency,2035,1.0,0.48068,127.99945,250.0,1.5768,0.0,46.4,-0.0003819845483440694
Perkasa Metal Industry,Central Halmahera Regency,2020,0.0,0.488145455865328,127.970546796433,206.0,1.299283,0.0,60.0,0.1093338280733297
Perkasa Metal Industry,Central Halmahera Regency,2024,0.26666666666666666,0.488145455865328,127.970546796433,206.0,1.299283,0.0,60.0,0.19252139006515354
Perkasa Metal Industry,Central Halmahera Regency,2029,0.6,0.488145455865328,127.970546796433,206.0,1.299283,0.0,60.0,-0.000805090759944778
Perkasa Metal Industry,Central Halmahera Regency,2035,1.0,0.488145455865328,127.970546796433,206.0,1.299283,0.0,60.0,-0.00031475521938491085
Wanatiara Persada,South Halmahera Regency,2020,0.0,-1.4590046405692,127.438374798906,150.0,0.94608,0.0,70.0,0.07960992687089176
Wanatiara Persada,South Halmahera Regency,2024,0.26666666666666666,-1.4590046405692,127.438374798906,150.0,0.94608,0.0,70.0,0.1401870416218218
Wanatiara Persada,South Halmahera Regency,2029,0.6,-1.4590046405692,127.438374798906,150.0,0.94608,0.0,70.0,-0.0005868830299160607
Wanatiara Persada,South Halmahera Regency,2035,1.0,-1.4590046405692,127.438374798906,150.0,0.94608,0.0,70.0,-0.00022769889996838177
